"","hospitalized_with_symptoms","intensive_care","hospitalized_total","home_isolation","positives_remaining","num_positives_variation","positives_added_on_dt","total_discharged_healed","total_deceased","total_cases","tests","notes_it","notes_en","dt","dt_previous","hospitalized_with_symptoms_previous","intensive_care_previous","hospitalized_total_previous","home_isolation_previous","positives_remaining_previous","num_positives_variation_previous","positives_added_on_dt_previous","total_discharged_healed_previous","total_deceased_previous","total_cases_previous","tests_previous","tests_delta","home_isolation_delta","hospitalized_with_symptoms_delta","intensive_care_delta","discharged_healed_delta","deceased_delta","positives_remaining_delta","total_tests_cases_ratio_prev","tests_per_positive_on_dt_ratio","positives_remaining_percent_delta","deceased_per_positives_day_before_ratio","discharged_healed_per_positives_day_before_ratio"
"1",114,35,150,162,311,90,93,1,10,322,8623,"","",2020-02-25,2020-02-24,101,26,127,94,221,0,221,1,7,229,4324,4299,68,13,9,0,3,90,18.882096069869,46.2258064516129,40.7239819004525,1.35746606334842,0
"2",128,36,164,221,385,74,78,3,12,400,9587,"","",2020-02-26,2020-02-25,114,35,150,162,311,90,93,1,10,322,8623,964,59,14,1,2,2,74,26.7795031055901,12.3589743589744,23.7942122186495,0.643086816720257,0.643086816720257
"3",248,56,304,284,588,203,250,45,17,650,12014,"","",2020-02-27,2020-02-26,128,36,164,221,385,74,78,3,12,400,9587,2427,63,120,20,42,5,203,23.9675,9.708,52.7272727272727,1.2987012987013,10.9090909090909
"4",345,64,409,412,821,233,238,46,21,888,15695,"","",2020-02-28,2020-02-27,248,56,304,284,588,203,250,45,17,650,12014,3681,128,97,8,1,4,233,18.4830769230769,15.4663865546218,39.6258503401361,0.680272108843537,0.170068027210884
"5",401,105,506,543,1049,228,240,50,29,1128,18661,"","",2020-02-29,2020-02-28,345,64,409,412,821,233,238,46,21,888,15695,2966,131,56,41,4,8,228,17.6745495495495,12.3583333333333,27.7710109622412,0.97442143727162,0.48721071863581
"6",639,140,779,798,1577,528,566,83,34,1694,21127,"","",2020-03-01,2020-02-29,401,105,506,543,1049,228,240,50,29,1128,18661,2466,255,238,35,33,5,528,16.5434397163121,4.35689045936396,50.3336510962822,0.476644423260248,3.14585319351764
"7",742,166,908,927,1835,258,342,149,52,2036,23345,"","",2020-03-02,2020-03-01,639,140,779,798,1577,528,566,83,34,1694,21127,2218,129,103,26,66,18,258,12.4716646989374,6.48538011695906,16.3601775523145,1.14140773620799,4.1851616994293
"8",1034,229,1263,1000,2263,428,466,160,79,2502,25856,"","",2020-03-03,2020-03-02,742,166,908,927,1835,258,342,149,52,2036,23345,2511,73,292,63,11,27,428,11.4661100196464,5.38841201716738,23.3242506811989,1.47138964577657,0.599455040871935
"9",1346,295,1641,1065,2706,443,587,276,107,3089,29837,"","",2020-03-04,2020-03-03,1034,229,1263,1000,2263,428,466,160,79,2502,25856,3981,65,312,66,116,28,443,10.3341326938449,6.78194207836457,19.5757843570482,1.23729562527618,5.12593901900133
"10",1790,351,2141,1155,3296,590,769,414,148,3858,32362,"","",2020-03-05,2020-03-04,1346,295,1641,1065,2706,443,587,276,107,3089,29837,2525,90,444,56,138,41,590,9.65911298154743,3.28348504551365,21.8033998521803,1.51515151515152,5.09977827050998
"11",2394,462,2856,1060,3916,620,778,523,197,4636,36359,"","",2020-03-06,2020-03-05,1790,351,2141,1155,3296,590,769,414,148,3858,32362,3997,-95,604,111,109,49,620,8.38828408501814,5.13753213367609,18.8106796116505,1.48665048543689,3.30703883495146
"12",2651,567,3218,1843,5061,1145,1247,589,233,5883,42062,"pd-IT-0003","pd-EN-0003",2020-03-07,2020-03-06,2394,462,2856,1060,3916,620,778,523,197,4636,36359,5703,783,257,105,66,36,1145,7.84275237273512,4.57337610264635,29.2390194075587,0.919305413687436,1.68539325842697
"13",3557,650,4207,2180,6387,1326,1492,622,366,7375,49937,"","",2020-03-08,2020-03-07,2651,567,3218,1843,5061,1145,1247,589,233,5883,42062,7875,337,906,83,33,133,1326,7.14975352711202,5.27815013404826,26.2003556609366,2.62793914246196,0.652045050385299
"14",4316,733,5049,2936,7985,1598,1797,724,463,9172,53826,"","",2020-03-09,2020-03-08,3557,650,4207,2180,6387,1326,1492,622,366,7375,49937,3889,756,759,83,102,97,1598,6.7711186440678,2.16416249304396,25.0195710036011,1.51870987944262,1.59699389384688
"15",5038,877,5915,2599,8514,529,977,1004,631,10149,60761,"pd-IT-0005","pd-EN-0005",2020-03-10,2020-03-09,4316,733,5049,2936,7985,1598,1797,724,463,9172,53826,6935,-337,722,144,280,168,529,5.86851286524204,7.09825997952917,6.62492172824045,2.10394489668128,3.50657482780213
"16",5838,1028,6866,3724,10590,2076,2313,1045,827,12462,73154,"nd-IT-0002","nd-EN-0002",2020-03-11,2020-03-10,5038,877,5915,2599,8514,529,977,1004,631,10149,60761,12393,1125,800,151,41,196,2076,5.98689526061681,5.3579766536965,24.3833685694151,2.3020906741837,0.481559783885365
"17",6650,1153,7803,5036,12839,2249,2651,1258,1016,15113,86011,"","",2020-03-12,2020-03-11,5838,1028,6866,3724,10590,2076,2313,1045,827,12462,73154,12857,1312,812,125,213,189,2249,5.87016530251966,4.8498679743493,21.2370160528801,1.78470254957507,2.01133144475921
"18",7426,1328,8754,6201,14955,2116,2547,1439,1266,17660,97488,"","",2020-03-13,2020-03-12,6650,1153,7803,5036,12839,2249,2651,1258,1016,15113,86011,11477,1165,776,175,181,250,2116,5.69119301263813,4.50608559089124,16.4810343484695,1.94719214892126,1.40976711581899
"19",8372,1518,9890,7860,17750,2795,3497,1966,1441,21157,109170,"","",2020-03-14,2020-03-13,7426,1328,8754,6201,14955,2116,2547,1439,1266,17660,97488,11682,1659,946,190,527,175,2795,5.5202718006795,3.34057763797541,18.6894015379472,1.17017719826145,3.52390504847877
"20",9663,1672,11335,9268,20603,2853,3590,2335,1809,24747,124899,"","",2020-03-15,2020-03-14,8372,1518,9890,7860,17750,2795,3497,1966,1441,21157,109170,15729,1408,1291,154,369,368,2853,5.15999432811835,4.38133704735376,16.0732394366197,2.07323943661972,2.07887323943662
"21",11025,1851,12876,10197,23073,2470,3233,2749,2158,27980,137962,"nd-IT-0004;nd-IT-0006","nd-EN-0004;nd-EN-0006",2020-03-16,2020-03-15,9663,1672,11335,9268,20603,2853,3590,2335,1809,24747,124899,13063,929,1362,179,414,349,2470,5.04703600436417,4.04051964120012,11.9885453574722,1.69392806872786,2.00941610445081
"22",12894,2060,14954,11108,26062,2989,3526,2941,2503,31506,148657,"nd-IT-0009","nd-EN-0009",2020-03-17,2020-03-16,11025,1851,12876,10197,23073,2470,3233,2749,2158,27980,137962,10695,911,1869,209,192,345,2989,4.93073624017155,3.03318207600681,12.9545356043861,1.49525419321285,0.832141464048888
"23",14363,2257,16620,12090,28710,2648,4207,4025,2978,35713,165541,"nd-IT-0012;nd-IT-0014","nd-EN-0012;nd-EN-0014",2020-03-18,2020-03-17,12894,2060,14954,11108,26062,2989,3526,2941,2503,31506,148657,16884,982,1469,197,1084,475,2648,4.71837110391671,4.01331114808652,10.16038677001,1.82257693193155,4.15931240887115
"24",15757,2498,18255,14935,33190,4480,5322,4440,3405,41035,182777,"","",2020-03-19,2020-03-18,14363,2257,16620,12090,28710,2648,4207,4025,2978,35713,165541,17236,2845,1394,241,415,427,4480,4.63531487133537,3.23863209319805,15.6043190525949,1.48728665970045,1.44548937652386
"25",16020,2655,18675,19185,37860,4670,5986,5129,4032,47021,206886,"","",2020-03-20,2020-03-19,15757,2498,18255,14935,33190,4480,5322,4440,3405,41035,182777,24109,4250,263,157,689,627,4670,4.45417326672353,4.02756431673906,14.0705031636035,1.88912322988852,2.07592648388069
"26",17708,2857,20565,22116,42681,4821,6557,6072,4825,53578,233222,"","",2020-03-21,2020-03-20,16020,2655,18675,19185,37860,4670,5986,5129,4032,47021,206886,26336,2931,1688,202,943,793,4821,4.39986389060207,4.01647094707946,12.7337559429477,2.094558901215,2.49075541468568
"27",19846,3009,22855,23783,46638,3957,5560,7024,5476,59138,258402,"","",2020-03-22,2020-03-21,17708,2857,20565,22116,42681,4821,6557,6072,4825,53578,233222,25180,1667,2138,152,952,651,3957,4.35294337227967,4.52877697841727,9.27110423841991,1.52526885499403,2.23050069117406
"28",20692,3204,23896,26522,50418,3780,4789,7432,6077,63927,275468,"","",2020-03-23,2020-03-22,19846,3009,22855,23783,46638,3957,5560,7024,5476,59138,258402,17066,2739,846,195,408,601,3780,4.3694747877845,3.56358321152641,8.10497877267464,1.2886487413697,0.874823105622025
"29",21937,3396,25333,28697,54030,3612,5249,8326,6820,69176,296964,"","",2020-03-24,2020-03-23,20692,3204,23896,26522,50418,3780,4789,7432,6077,63927,275468,21496,2175,1245,192,894,743,3612,4.30910257011904,4.09525623928367,7.16410805664644,1.47368003490817,1.7731762465786
"30",23112,3489,26601,30920,57521,3491,5210,9362,7503,74386,324445,"","",2020-03-25,2020-03-24,21937,3396,25333,28697,54030,3612,5249,8326,6820,69176,296964,27481,2223,1175,93,1036,683,3491,4.29287614201457,5.2746641074856,6.46122524523413,1.26411253007588,1.91745326670368
"31",24753,3612,28365,33648,62013,4492,6153,10361,8165,80539,361060,"pd-IT-0007","pd-EN-0007",2020-03-26,2020-03-25,23112,3489,26601,30920,57521,3491,5210,9362,7503,74386,324445,36615,2728,1641,123,999,662,4492,4.36164063130159,5.95075572891273,7.80932181290311,1.1508840249648,1.73675701048313
"32",26029,3732,29761,36653,66414,4401,5959,10950,9134,86498,394079,"","",2020-03-27,2020-03-26,24753,3612,28365,33648,62013,4492,6153,10361,8165,80539,361060,33019,3005,1276,120,589,969,4401,4.48304548107128,5.54103037422386,7.09689903729863,1.56257558898941,0.949800848209246
