"","denominazione_provincia","totale_casi","current_perc_rate","trend"
"1","Imperia",979,10.9977324263039,7.4
"2","Genova",3472,12.5081011017498,6.7
"3","Cosenza",317,7.45762711864406,4.6
"4","Asti",868,9.4577553593947,4.2
"5","Ravenna",880,6.40870616686819,2.7
"6","Siracusa",156,4.69798657718121,2.5
"7","Varese",1813,5.96142606662771,2.4
"8","Arezzo",487,7.5055187637969,2.2
"9","L'Aquila",228,3.63636363636364,2.1
"10","Salerno",557,2.95748613678373,1.5
"11","Treviso",2032,2.47100353000504,1.5
"12","Viterbo",326,2.51572327044025,1.2
"13","Lecco",1970,3.08738880167452,1.2
"14","Cremona",5172,4.59049544994945,1
"15","Enna",335,2.44648318042813,1
"16","Reggio di Calabria",268,1.90114068441065,0.9
"17","Biella",702,3.38733431516938,0.9
"18","Rovigo",287,2.49999999999999,0.9
"19","Sud Sardegna",86,2.38095238095237,0.8
"20","Forlì-Cesena",1301,4.49799196787148,0.7
"21","Verbano-Cusio-Ossola",893,1.9406392694064,0.6
"22","Napoli",2010,4.03726708074534,0.5
"23","Monza e della Brianza",3821,2.71505376344086,0.5
"24","Valle d'Aosta / Vallée d'Aoste",947,2.15749730312838,0.5
"25","Trieste",945,3.16593886462881,0.4
"26","Roma",3560,3.75983678227922,0.3
"27","Pisa",727,4.75504322766571,0.2
"28","Bari",989,2.8066528066528,0.1
